2020 May 26 17:47:19 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded AIBench Core   [version 2.10.2]
2020 May 26 17:47:19 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded AIBench Plugin Manager   [version 2.10.2]
2020 May 26 17:47:19 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded AIBench Workbench   [version 2.10.2]
2020 May 26 17:47:19 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-automatic-annotation   [version 4.0.3]
2020 May 26 17:47:19 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-biocoiso   [version 4.0.3]
2020 May 26 17:47:19 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-biomass   [version 4.0.3]
2020 May 26 17:47:19 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-compartments   [version 4.0.3]
2020 May 26 17:47:19 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-exporter   [version 4.0.3]
2020 May 26 17:47:19 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-gpr   [version 4.0.3]
2020 May 26 17:47:19 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-gui   [version 4.0.3]
2020 May 26 17:47:19 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-interpro   [version 4.0.3]
2020 May 26 17:47:19 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-sampler   [version 4.0.3]
2020 May 26 17:47:19 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-settings   [version 4.0.3]
2020 May 26 17:47:19 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-transyt   [version 4.0.3]
2020 May 26 17:47:20 [AWT-EventQueue-0] putItemInSlot WARN  e.u.ei.aibench.workbench.MainWindow - slot not found to place some component: bottom
2020 May 26 17:47:53 [Thread-24] error ERROR e.u.ei.aibench.workbench.Workbench - You have already integrated the compartments, if you wish to repeat this operation please clean the integration first
2020 May 26 17:47:58 [Thread-25] info INFO  e.u.ei.aibench.workbench.Workbench - all reactions assigned to the model removed!
2020 May 26 17:48:12 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 May 26 17:48:12 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 May 26 17:48:12 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 May 26 17:48:12 [Thread-25] checkMembraneCompartment WARN  p.u.c.b.m.c.i.ModelCompartmentsIntegrationOperation - No membrane compartmentID defined!
2020 May 26 17:48:12 [Thread-24] backupWorkspaceFolder INFO  p.u.c.b.m.c.i.ModelCompartmentsIntegrationOperation - Copying workspace folder files...
2020 May 26 17:48:12 [Thread-24] initCloning INFO  p.u.c.b.m.c.i.ModelCompartmentsIntegrationOperation - exporting database...
2020 May 26 17:48:19 [Thread-24] importWorkspaceFolder INFO  p.u.c.b.m.c.i.ModelCompartmentsIntegrationOperation - Starting the ws folder files import...
2020 May 26 17:53:47 [Thread-24] info INFO  e.u.ei.aibench.workbench.Workbench - Workspace successfully cloned as: 'toyModelEcoliMiguelClone4'.
2020 May 26 17:53:53 [Thread-24] initCloning INFO  p.u.c.b.m.c.i.ModelCompartmentsIntegrationOperation - Workspace successfully cloned as toyModelEcoliMiguelClone4
2020 May 26 17:53:54 [Thread-24] info INFO  e.u.ei.aibench.workbench.Workbench - Compartments integration complete!
2020 May 26 17:56:30 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 May 26 17:56:30 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 May 26 17:56:30 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 May 26 17:56:30 [Thread-24] checkMembraneCompartment WARN  p.u.c.b.m.c.i.ModelCompartmentsIntegrationOperation - No membrane compartmentID defined!
2020 May 26 17:56:30 [Thread-29] backupWorkspaceFolder INFO  p.u.c.b.m.c.i.ModelCompartmentsIntegrationOperation - Copying workspace folder files...
2020 May 26 17:56:30 [Thread-29] initCloning INFO  p.u.c.b.m.c.i.ModelCompartmentsIntegrationOperation - exporting database...
2020 May 26 17:56:36 [Thread-29] importWorkspaceFolder INFO  p.u.c.b.m.c.i.ModelCompartmentsIntegrationOperation - Starting the ws folder files import...
2020 May 26 17:56:55 [AWT-EventQueue-0] warn WARN  e.u.ei.aibench.workbench.Workbench - operation canceled!
