2020 Jun 23 10:51:41 [Thread-20] <init> INFO  o.a.j.engine.control.CompositeCache - Constructed cache with name [KEGG_API] and cache attributes [ useLateral = true, useRemote = true, useDisk = true, maxObjs = 100000, maxSpoolPerRun = 500, diskUsagePattern = 0 ]
2020 Jun 23 10:51:41 [Thread-20] <init> INFO  o.a.j.a.d.indexed.IndexedDiskCache - Region [KEGG_API] Cache file root directory: ./cache
2020 Jun 23 10:51:41 [Thread-20] initKeyMap INFO  o.a.j.a.d.indexed.IndexedDiskCache - Region [KEGG_API] Set maxKeySize to: '100000000'
2020 Jun 23 10:51:41 [Thread-20] <init> INFO  o.a.j.a.d.indexed.IndexedDiskCache - Region [KEGG_API] Indexed Disk Cache is alive.
2020 Jun 23 10:51:41 [Thread-20] parseRegions INFO  o.a.j.e.c.CompositeCacheConfigurator - Parsed regions [KEGG_API]
2020 Jun 23 10:51:41 [Thread-20] doConfigure INFO  o.a.j.e.c.CompositeCacheConfigurator - Finished configuration in 410 ms.
2020 Jun 23 10:52:27 [Thread-20] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Iterator size: 1, entries [3.6.1.8]
2020 Jun 23 10:53:26 [Thread-20] runIdentification INFO  p.u.c.b.m.g.r.c.IdentifyGenomeSubunits - Orthologs to be searched in genome:	0	[]
2020 Jun 23 10:53:49 [Thread-20] warn WARN  e.u.ei.aibench.workbench.Workbench - nothing found
2020 Jun 23 10:54:52 [Thread-22] warn WARN  e.u.ei.aibench.workbench.Workbench - nothing found
2020 Jun 23 10:55:30 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 23 10:55:30 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 23 10:55:30 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 Jun 23 10:55:36 [Thread-20] warn WARN  e.u.ei.aibench.workbench.Workbench - nothing found
2020 Jun 23 10:56:13 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
