2020 Jun 12 15:17:57 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-addons   [version 4.0.3]
2020 Jun 12 15:17:57 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded AIBench Core   [version 2.10.2]
2020 Jun 12 15:17:57 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded AIBench Plugin Manager   [version 2.10.2]
2020 Jun 12 15:17:57 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded AIBench Workbench   [version 2.10.2]
2020 Jun 12 15:17:57 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-automatic-annotation   [version 4.0.3]
2020 Jun 12 15:17:57 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-biocoiso   [version 4.0.3]
2020 Jun 12 15:17:57 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-biomass   [version 4.0.3]
2020 Jun 12 15:17:57 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-compartments   [version 4.0.3]
2020 Jun 12 15:17:57 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-exporter   [version 4.0.3]
2020 Jun 12 15:17:57 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-gpr   [version 4.0.3]
2020 Jun 12 15:17:57 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-gui   [version 4.0.3]
2020 Jun 12 15:17:57 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-interpro   [version 4.0.3]
2020 Jun 12 15:17:57 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-sampler   [version 4.0.3]
2020 Jun 12 15:17:57 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-settings   [version 4.0.3]
2020 Jun 12 15:17:57 [main] handlePluginEngineEvent INFO  es.uvigo.ei.aibench.SplashFrame - Loaded merlin-transyt   [version 4.0.3]
2020 Jun 12 15:17:58 [AWT-EventQueue-0] putItemInSlot WARN  e.u.ei.aibench.workbench.MainWindow - slot not found to place some component: bottom
2020 Jun 12 15:18:24 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 12 15:18:24 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 12 15:18:24 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 Jun 12 15:18:24 [Thread-22] checkMembraneCompartment WARN  p.u.c.b.m.c.i.ModelCompartmentsIntegrationOperation - No membrane compartmentID defined!
2020 Jun 12 15:18:29 [Thread-21] info INFO  e.u.ei.aibench.workbench.Workbench - Compartments integration complete!
2020 Jun 12 15:18:37 [Thread-22] info INFO  e.u.ei.aibench.workbench.Workbench - all reactions assigned to the model removed!
2020 Jun 12 15:21:01 [Thread-25] warn WARN  e.u.ei.aibench.workbench.Workbench - Compartments have not been integrated yet, there is nothing to clean!
2020 Jun 12 15:21:07 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 12 15:21:07 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 12 15:21:07 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 Jun 12 15:21:07 [Thread-25] checkMembraneCompartment WARN  p.u.c.b.m.c.i.ModelCompartmentsIntegrationOperation - No membrane compartmentID defined!
2020 Jun 12 15:21:13 [Thread-22] info INFO  e.u.ei.aibench.workbench.Workbench - Compartments integration complete!
2020 Jun 12 15:23:03 [AWT-EventQueue-0] info INFO  e.u.ei.aibench.workbench.Workbench - workspace toyModelEcoliMiguelClone1 closed!
2020 Jun 12 15:24:20 [Thread-22] info INFO  e.u.ei.aibench.workbench.Workbench - all reactions assigned to the model removed!
2020 Jun 12 15:26:30 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property progress does not have a write method associated so it probably can't be updated
2020 Jun 12 15:26:30 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property task does not have a write method associated so it probably can't be updated
2020 Jun 12 15:26:30 [AWT-EventQueue-0] getPropertyDescriptors WARN  e.u.e.a.workbench.MonitorizeDialog - Warning: progress bean property time does not have a write method associated so it probably can't be updated
2020 Jun 12 15:26:30 [Thread-22] checkMembraneCompartment WARN  p.u.c.b.m.c.i.ModelCompartmentsIntegrationOperation - No membrane compartmentID defined!
2020 Jun 12 15:27:46 [AWT-EventQueue-0] warn WARN  e.u.ei.aibench.workbench.Workbench - operation canceled!
